Categoria: Todas as categorias

Semana,Seguro para Viagem: (Brasil)
2019-09-08,100
2019-09-15,88
2019-09-22,82
2019-09-29,77
2019-10-06,85
2019-10-13,80
2019-10-20,75
2019-10-27,75
2019-11-03,78
2019-11-10,85
2019-11-17,73
2019-11-24,87
2019-12-01,80
2019-12-08,77
2019-12-15,79
2019-12-22,72
2019-12-29,73
2020-01-05,89
2020-01-12,90
2020-01-19,88
2020-01-26,79
2020-02-02,81
2020-02-09,81
2020-02-16,76
2020-02-23,75
2020-03-01,72
2020-03-08,71
2020-03-15,33
2020-03-22,20
2020-03-29,18
2020-04-05,16
2020-04-12,18
2020-04-19,15
2020-04-26,15
2020-05-03,13
2020-05-10,12
2020-05-17,15
2020-05-24,15
2020-05-31,15
2020-06-07,16
2020-06-14,17
2020-06-21,18
2020-06-28,18
2020-07-05,20
2020-07-12,17
2020-07-19,19
2020-07-26,20
2020-08-02,20
2020-08-09,22
2020-08-16,23
2020-08-23,24
2020-08-30,23
2020-09-06,25
2020-09-13,22
2020-09-20,26
2020-09-27,26
2020-10-04,26
2020-10-11,22
2020-10-18,23
2020-10-25,23
2020-11-01,24
2020-11-08,25
2020-11-15,23
2020-11-22,25
2020-11-29,24
2020-12-06,25
2020-12-13,24
2020-12-20,24
2020-12-27,19
2021-01-03,25
2021-01-10,20
2021-01-17,20
2021-01-24,17
2021-01-31,16
2021-02-07,18
2021-02-14,17
2021-02-21,17
2021-02-28,19
2021-03-07,16
2021-03-14,14
2021-03-21,16
2021-03-28,12
2021-04-04,17
2021-04-11,16
2021-04-18,16
2021-04-25,18
2021-05-02,18
2021-05-09,21
2021-05-16,20
2021-05-23,19
2021-05-30,19
2021-06-06,21
2021-06-13,20
2021-06-20,22
2021-06-27,23
2021-07-04,22
2021-07-11,26
2021-07-18,26
2021-07-25,25
2021-08-01,25
2021-08-08,27
2021-08-15,27
2021-08-22,26
2021-08-29,34
2021-09-05,44
2021-09-12,42
2021-09-19,43
2021-09-26,49
2021-10-03,49
2021-10-10,46
2021-10-17,50
2021-10-24,48
2021-10-31,56
2021-11-07,65
2021-11-14,61
2021-11-21,72
2021-11-28,57
2021-12-05,57
2021-12-12,61
2021-12-19,55
2021-12-26,55
2022-01-02,68
2022-01-09,66
2022-01-16,62
2022-01-23,62
2022-01-30,70
2022-02-06,72
2022-02-13,72
2022-02-20,71
2022-02-27,70
2022-03-06,71
2022-03-13,75
2022-03-20,75
2022-03-27,76
2022-04-03,80
2022-04-10,81
2022-04-17,81
2022-04-24,76
2022-05-01,82
2022-05-08,87
2022-05-15,71
2022-05-22,70
2022-05-29,79
2022-06-05,77
2022-06-12,76
2022-06-19,79
2022-06-26,75
2022-07-03,88
2022-07-10,82
2022-07-17,78
2022-07-24,75
2022-07-31,72
2022-08-07,71
2022-08-14,71
2022-08-21,64
2022-08-28,70
2022-09-04,63
2022-09-11,62
2022-09-18,61
2022-09-25,58
2022-10-02,56
2022-10-09,66
2022-10-16,55
2022-10-23,55
2022-10-30,54
2022-11-06,63
2022-11-13,61
2022-11-20,59
2022-11-27,58
2022-12-04,64
2022-12-11,67
2022-12-18,69
2022-12-25,65
2023-01-01,72
2023-01-08,74
2023-01-15,73
2023-01-22,74
2023-01-29,71
2023-02-05,69
2023-02-12,73
2023-02-19,65
2023-02-26,71
2023-03-05,77
2023-03-12,73
2023-03-19,72
2023-03-26,69
2023-04-02,70
2023-04-09,75
2023-04-16,72
2023-04-23,70
2023-04-30,74
2023-05-07,72
2023-05-14,69
2023-05-21,70
2023-05-28,72
2023-06-04,76
2023-06-11,74
2023-06-18,75
2023-06-25,75
2023-07-02,83
2023-07-09,81
2023-07-16,81
2023-07-23,78
2023-07-30,77
2023-08-06,74
2023-08-13,76
2023-08-20,89
2023-08-27,76
2023-09-03,81
2023-09-10,83
2023-09-17,72
2023-09-24,70
2023-10-01,73
2023-10-08,72
2023-10-15,70
2023-10-22,65
2023-10-29,65
2023-11-05,66
2023-11-12,67
2023-11-19,69
2023-11-26,64
2023-12-03,70
2023-12-10,77
2023-12-17,75
2023-12-24,77
2023-12-31,73
2024-01-07,81
2024-01-14,79
2024-01-21,77
2024-01-28,78
2024-02-04,83
2024-02-11,73
2024-02-18,70
2024-02-25,79
2024-03-03,79
2024-03-10,80
2024-03-17,79
2024-03-24,77
2024-03-31,83
2024-04-07,82
2024-04-14,77
2024-04-21,80
2024-04-28,86
2024-05-05,73
2024-05-12,87
2024-05-19,79
2024-05-26,83
2024-06-02,84
2024-06-09,76
2024-06-16,84
2024-06-23,79
2024-06-30,86
2024-07-07,86
2024-07-14,88
2024-07-21,81
2024-07-28,81
2024-08-04,77
2024-08-11,81
2024-08-18,75
2024-08-25,78
2024-09-01,88
2024-09-08,88
